Case name,Sx,kbar_ch,kc_ch,kt_ch,krms_ch,Ra_ch,incx_ch,incz_ch,pro_ch,ESx_ch,ESz_ch,sk_ch,ku_ch,ks,label
E28D0Rn,0.196,0.0402,0.1051,0.1051,0.0389,0.0357,0.0007,0.0019,0.6175,0.8051,0.5714,0.2702,1.4657,0.2104,DNSLE
E35D0Ry,0.245,0.0212,0.1051,0.1006,0.0276,0.0239,-0.4527,-0.5418,0.7986,0.318,0.3784,0.998,2.7194,0.1746,DNSLE
E35D0Rn,0.245,0.0258,0.1051,0.1051,0.0366,0.0323,-0.0026,0.0021,0.755,0.5163,0.3824,0.9774,2.3011,0.353,DNSLE
E01-16-2,0.03676,0.138,0.2605,0.2542,0.0204,0.0161,-0.0052,0.0114,0.4716,0.7202,0.8354,-0.7109,3.8425,0.052,EXP
E03-16-7,0.03525,0.1326,0.3649,0.2541,0.0185,0.0141,-0.038,-0.0004,0.6375,0.6177,0.705,-1.1689,5.2921,0.058,EXP
E04-16-8,0.03688,0.1259,0.2984,0.227,0.0165,0.0127,-0.0338,0.0088,0.5791,0.587,0.6819,-1.4448,5.4214,0.056,EXP
E05-16-9,0.04438,0.1123,0.3084,0.1667,0.0175,0.0139,-0.0306,0.015,0.6367,0.6362,0.7528,-0.7384,3.7139,0.043,EXP
E06-16-15,0.02813,0.0809,0.1909,0.1909,0.0126,0.0098,-0.0266,0.0029,0.5775,0.6209,0.7128,-0.6874,3.8541,0.035,EXP
E07-18-1,0.036,0.1206,0.2406,0.2312,0.0264,0.0211,-0.0129,-0.1832,0.4999,0.181,0.1881,0.1074,2.9405,0.053,EXP
E08-18-2,0.036,0.143,0.276,0.2572,0.0318,0.0254,-0.0193,0.1939,0.4832,0.1624,0.1644,0.0934,2.967,0.034,EXP
E09-19-1,0.036,0.2041,0.3976,0.3718,0.0455,0.0364,0.0419,-0.0957,0.487,0.2268,0.2295,-0.0797,2.9891,0.065,EXP
E10-19-2,0.036,0.3887,0.7627,0.6831,0.0877,0.0702,0.0463,0.0015,0.4916,0.4466,0.4521,-0.0651,2.9253,0.2,EXP
E11-19-3,0.036,0.4772,0.7301,0.6803,0.0881,0.0704,-0.0289,-0.2449,0.348,0.4336,0.4317,-0.6595,3.2739,0.16,EXP
E12-19-4,0.036,0.4585,0.7513,0.7167,0.0885,0.0708,-0.0522,0.0363,0.3913,0.4551,0.4585,-0.3512,3.0406,0.18,EXP
E13-19-5,0.036,0.2922,0.7316,0.6602,0.0895,0.0715,-0.0582,-0.0044,0.6016,0.4448,0.4524,0.3458,3.0505,0.245,EXP
E14-19-6,0.036,0.2022,0.7109,0.6056,0.0866,0.0692,0.0035,-0.0101,0.7163,0.3909,0.4003,0.8117,3.5588,0.435,EXP
C20Ds45A,0.1416,0.0119,0.0497,0.0497,0.0169,0.0146,0,0,0.7597,0.378,0.2877,1.078,2.6097,0.1506,DNSLC
C20Ds45S,0.2832,0.0119,0.0497,0.0497,0.0169,0.0145,0,0,0.7609,0.3761,0.2877,1.0855,2.6263,0.1658,DNSLC
C28D0S,0.39648,0.0116,0.0708,0.0708,0.0262,0.0194,0,0,0.8367,0.2769,0.2782,1.8215,4.3177,0.2772,DNSLC
C28Dn45S,0.39648,0.0125,0.0708,0.0708,0.027,0.0205,0,0,0.8241,0.3632,0.3656,1.7027,3.8993,0.438,DNSLC
C35D0A,0.2478,0.0077,0.0708,0.0708,0.0221,0.0138,0,0,0.8906,0.1892,0.187,2.5031,7.2657,0.1221,DNSLC
C35D0S,0.4956,0.0077,0.0708,0.0708,0.022,0.0137,0,0,0.8916,0.1875,0.187,2.519,7.3454,0.3206,DNSLC
C35Dn45A,0.2478,0.0085,0.0708,0.0708,0.023,0.015,0,0,0.8798,0.2467,0.2493,2.3365,6.459,0.1945,DNSLC
C35Dn45S,0.4956,0.0085,0.0708,0.0708,0.0231,0.015,0,0,0.8795,0.2484,0.2493,2.3318,6.4373,0.3654,DNSLC
